masa_A
t,x,y
0.000000000E0,-3.047367724E-2,-7.829008621E-3
3.333333333E-2,-2.418316676E-2,-8.807352382E-3
6.665555556E-2,-9.645192557E-3,-7.688637890E-3
9.996666667E-2,3.746351714E-2,-6.988378493E-3
1.333000000E-1,1.049813264E-1,-5.448817518E-3
1.666222222E-1,1.801769210E-1,-1.685393246E-3
1.999444444E-1,2.559704969E-1,-1.060995503E-3
2.332666667E-1,3.168293886E-1,-9.348385016E-4
2.665888889E-1,3.683541321E-1,-2.177956418E-3
2.999333333E-1,4.122364022E-1,-2.644458561E-3
3.332333333E-1,4.570350362E-1,-1.761681338E-3
3.665555556E-1,4.856253369E-1,-1.384310499E-3
3.998777778E-1,5.106474066E-1,1.272370710E-3
4.332111111E-1,5.296586445E-1,1.272902129E-3
4.665333333E-1,5.399819005E-1,-1.503165208E-5
4.998444444E-1,5.460989745E-1,-1.432016136E-3
5.331666667E-1,5.490388739E-1,-2.333495381E-3
5.664888889E-1,5.498620398E-1,-2.372670694E-3
5.998111111E-1,5.475885305E-1,-2.137544309E-3
6.331444444E-1,5.406503649E-1,9.656614810E-5
6.664555556E-1,5.317914914E-1,1.977838010E-3
6.997888889E-1,5.177976715E-1,2.643818330E-3
7.331111111E-1,4.947115707E-1,-6.851139413E-4
7.664444444E-1,4.633989905E-1,-2.363451389E-3
7.997555556E-1,4.294303933E-1,-2.783766453E-3
8.330777778E-1,3.803645975E-1,-1.806618386E-3
8.664000000E-1,3.238899753E-1,4.284192107E-4
8.997222222E-1,2.623829979E-1,1.545008025E-3
9.330444444E-1,1.924888503E-1,-2.371024117E-3
9.663666667E-1,1.047016478E-1,-1.814323968E-3
9.996888889E-1,3.257073549E-2,-4.184550955E-4
