masa_A
t,x,y
0.000000000E0,-5.089618252E-3,1.545320187E-3
3.332222222E-2,1.083680635E-2,1.202137435E-3
6.664444444E-2,5.049849695E-2,9.382303339E-4
9.996666667E-2,1.067722399E-1,6.166643665E-4
1.332888889E-1,1.625979262E-1,5.254479065E-4
1.666222222E-1,2.087331634E-1,4.476319504E-4
1.999333333E-1,2.566411513E-1,4.480679680E-4
2.332666667E-1,2.958649459E-1,5.436721882E-4
2.665888889E-1,3.368485749E-1,7.039058587E-4
2.999111111E-1,3.750302097E-1,8.130573458E-4
3.332444444E-1,4.056418584E-1,8.308849927E-4
3.665555556E-1,4.390815757E-1,9.675881705E-4
3.999555556E-1,4.610773902E-1,9.274276091E-4
4.332000000E-1,4.801259200E-1,1.014919866E-3
4.665333333E-1,4.934147919E-1,1.103593109E-3
4.998444444E-1,5.038756961E-1,1.089983255E-3
5.331666667E-1,5.124913423E-1,1.176866391E-3
5.664888889E-1,5.163845413E-1,1.295713368E-3
5.998111111E-1,5.192885657E-1,9.380682216E-4
6.331444444E-1,5.175286314E-1,9.304067543E-4
6.664666667E-1,5.108825320E-1,9.439401208E-4
6.997888889E-1,4.991731143E-1,1.145524257E-3
7.331222222E-1,4.887332059E-1,1.071288346E-3
7.664888889E-1,4.707618900E-1,9.213470306E-4
7.997666667E-1,4.477798767E-1,8.283637776E-4
8.330777778E-1,4.268337510E-1,8.641985548E-4
8.664000000E-1,3.965372942E-1,4.964168790E-4
8.997333333E-1,3.639381635E-1,5.385127381E-4
9.330444444E-1,3.211198276E-1,3.053632478E-4
9.663666667E-1,2.848367584E-1,1.622932433E-4
9.996888889E-1,2.409216112E-1,-9.724851197E-4
1.033011111E0,1.983728203E-1,2.591825988E-4
1.066333333E0,1.521931872E-1,4.100620111E-4
1.099666667E0,9.450752589E-2,5.589226914E-4
1.132977778E0,4.407409475E-2,8.115973336E-4
1.166311111E0,-7.548336882E-4,4.538263892E-4
