mass_A
t,x,y
0.000000000E0,3.235998085E0,4.982365091E0
3.324444444E-2,3.118519722E0,4.927726623E0
6.648888889E-2,3.116879437E0,4.869807584E0
9.992222222E-2,3.116879437E0,4.869807584E0
1.332222222E-1,3.292276838E0,4.922805767E0
1.665222222E-1,3.758909719E0,5.025521563E0
1.998222222E-1,4.458859040E0,5.179595255E0
2.331222222E-1,5.104169892E0,5.451147311E0
2.665444444E-1,7.202377570E0,5.855449351E0
2.998555556E-1,1.041580955E1,6.749857320E0
3.331666667E-1,1.590284661E1,8.101565511E0
3.664777778E-1,2.280126431E1,1.016685436E1
3.999111111E-1,2.957072165E1,1.177207147E1
4.331666667E-1,3.552931244E1,1.340025257E1
4.664222222E-1,4.101470922E1,1.469404172E1
4.998222222E-1,4.621543166E1,1.616978942E1
5.332222222E-1,5.059872641E1,1.743682495E1
5.664777778E-1,5.439790992E1,1.854650623E1
5.997333333E-1,5.761298218E1,1.949883323E1
6.331333333E-1,6.070565523E1,2.022276466E1
6.665333333E-1,6.333989683E1,2.113357548E1
6.997777778E-1,6.514850931E1,2.154607894E1
7.330222222E-1,6.672872621E1,2.208098163E1
7.664555556E-1,6.772155129E1,2.234269197E1
7.997777778E-1,6.847777937E1,2.243720634E1
8.331000000E-1,6.865645734E1,2.260604260E1
8.664222222E-1,6.848105994E1,2.255304442E1
8.997444444E-1,6.830402225E1,2.244212720E1
9.330666667E-1,6.766199197E1,2.228641322E1
9.663888889E-1,6.730955688E1,2.212249781E1
9.997111111E-1,6.649540977E1,2.202962373E1
1.033033333E0,6.578889931E1,2.164387388E1
1.066355556E0,6.525942653E1,2.136904126E1
1.099677778E0,6.439064095E1,2.139364554E1
1.133000000E0,6.345081405E1,2.095653779E1
1.166322222E0,6.245798896E1,2.069482745E1
1.199644444E0,6.152636349E1,2.054731489E1
1.232966667E0,6.017946303E1,2.006377011E1
1.266288889E0,5.889212189E1,1.963650407E1
1.299611111E0,5.749386354E1,1.938627573E1
1.332933333E0,5.573660895E1,1.874045582E1
1.366255556E0,5.410339387E1,1.838095054E1
1.399577778E0,5.240897918E1,1.790724746E1
1.432900000E0,5.071292420E1,1.737562535E1
1.466222222E0,4.895730990E1,1.678772448E1
1.499666667E0,4.679462204E1,1.615338657E1
1.532922222E0,4.469805465E1,1.580700357E1
1.566177778E0,4.264956459E1,1.511146605E1
1.599577778E0,4.084095210E1,1.469896258E1
1.632977778E0,3.862362578E1,1.418210303E1
1.666222222E0,3.628554052E1,1.349476694E1
1.699588889E0,3.383489775E1,1.292654950E1
1.732955556E0,3.108809865E1,1.213485732E1
1.766211111E0,2.875329396E1,1.156335931E1
1.799466667E0,2.606769447E1,1.088586493E1
1.832866667E0,2.338209498E1,1.020837055E1
1.866266667E0,2.075605481E1,9.587154918E0
1.899666667E0,1.806717475E1,8.793822460E0
1.932855556E0,1.520453758E1,8.005410857E0
