mass_A
t,x,y
0.000000000E0,5.239050664E-1,4.449226291E0
3.325555556E-2,9.336108664E-1,4.620623694E0
6.664444444E-2,3.214494867E0,5.788222671E0
1.000333333E-1,8.776001966E0,8.462246500E0
1.333000000E-1,1.521986273E1,1.228954664E1
1.665666667E-1,2.198525000E1,1.638039240E1
1.999444444E-1,2.932677932E1,2.000752040E1
2.333222222E-1,3.570670579E1,2.297925716E1
2.667000000E-1,4.127813521E1,2.610409973E1
2.999333333E-1,4.652010026E1,2.860474169E1
3.331666667E-1,5.054088577E1,3.095184644E1
3.666222222E-1,5.451162824E1,3.307453404E1
3.999000000E-1,5.747667822E1,3.458790453E1
4.331777778E-1,6.003797579E1,3.620036885E1
4.664555556E-1,6.204439961E1,3.719359372E1
4.998777778E-1,6.364409434E1,3.815066682E1
5.333000000E-1,6.446350594E1,3.849346163E1
5.665444444E-1,6.460172826E1,3.862573055E1
5.997888889E-1,6.446152147E1,3.840329788E1
6.332000000E-1,6.382144514E1,3.801145226E1
6.665111111E-1,6.268249148E1,3.749527559E1
6.998222222E-1,6.163370158E1,3.697711445E1
7.331333333E-1,6.039962302E1,3.623751286E1
7.664444444E-1,5.871174901E1,3.537258798E1
7.997555556E-1,5.674743037E1,3.424312525E1
8.330666667E-1,5.464687386E1,3.307155735E1
8.663777778E-1,5.218268567E1,3.177268168E1
8.998000000E-1,4.953221658E1,3.020728369E1
9.331222222E-1,4.633977276E1,2.860871063E1
9.664444444E-1,4.305021957E1,2.669654890E1
9.997666667E-1,3.944211656E1,2.465608718E1
1.033088889E0,3.556451454E1,2.266666074E1
1.066411111E0,3.145654198E1,2.045678608E1
1.099733333E0,2.694184032E1,1.821075965E1
1.133055556E0,2.223986553E1,1.565312902E1
1.166377778E0,1.713116164E1,1.305934661E1
1.199700000E0,1.202245775E1,1.046556420E1
1.233022222E0,6.410907612E0,7.567123236E0
1.266344444E0,4.798154246E-1,4.495300398E0
