mass_A
t,x,y
0.000000000E0,1.352735261E0,4.739052244E0
3.332222222E-2,1.308987793E0,4.830731136E0
6.664444444E-2,1.536093046E0,4.826547178E0
9.996666667E-2,1.947392875E0,4.955279205E0
1.332888889E-1,3.183802737E0,5.477738436E0
1.666111111E-1,5.199064791E0,6.349340613E0
1.999333333E-1,9.685472986E0,8.175019152E0
2.332555556E-1,1.568583810E1,1.079066247E1
2.665777778E-1,2.269969178E1,1.416005424E1
2.999000000E-1,2.975143538E1,1.711981976E1
3.332222222E-1,3.621186854E1,2.004504252E1
3.665444444E-1,4.157382857E1,2.253613777E1
3.998666667E-1,4.647739413E1,2.480849569E1
4.333000000E-1,5.096882308E1,2.690670053E1
4.666222222E-1,5.477475231E1,2.879035200E1
4.999444444E-1,5.825269268E1,3.013480840E1
5.332666667E-1,6.119143800E1,3.180725365E1
5.665888889E-1,6.311585795E1,3.268052941E1
5.999111111E-1,6.449271492E1,3.342758352E1
6.332333333E-1,6.581745651E1,3.381210601E1
6.665555556E-1,6.618500887E1,3.403251693E1
6.998777778E-1,6.595874041E1,3.408212194E1
7.332000000E-1,6.563493551E1,3.377003213E1
7.665222222E-1,6.481233586E1,3.351256808E1
7.998444444E-1,6.398722582E1,3.311884087E1
8.331666667E-1,6.293166337E1,3.254761342E1
8.664888889E-1,6.178609561E1,3.202348061E1
8.998111111E-1,6.036716475E1,3.145894749E1
9.331333333E-1,5.876236574E1,3.067065629E1
9.664555556E-1,5.674543010E1,2.970821201E1
9.997777778E-1,5.486643120E1,2.883409946E1
1.033100000E0,5.239277468E1,2.774375995E1
1.066422222E0,4.973408680E1,2.647508340E1
1.099744444E0,4.657074661E1,2.494308526E1
1.133066667E0,4.400290082E1,2.367273513E1
1.166388889E0,4.051993970E1,2.205575242E1
1.199711111E0,3.726575741E1,2.052542786E1
1.233033333E0,3.360111208E1,1.891179233E1
1.266355556E0,2.970685112E1,1.716607760E1
1.299677778E0,2.585801122E1,1.541952608E1
1.333000000E0,2.145909795E1,1.341048976E1
1.366322222E0,1.678849518E1,1.145189523E1
1.399644444E0,1.234583445E1,9.534537801E0
1.432966667E0,7.305168946E0,7.219269207E0
