mass_A
t,x,y
3.732555556E0,4.710334345E1,1.180415889E1
3.765966667E0,4.696064735E1,1.177051612E1
3.799211111E0,4.686193449E1,1.175925018E1
3.832455556E0,4.670350942E1,1.172850130E1
3.865855556E0,4.660301979E1,1.171578093E1
3.899255556E0,4.644359219E1,1.168623040E1
3.932511111E0,4.634518766E1,1.167030714E1
3.965766667E0,4.618428281E1,1.164046445E1
3.999166667E0,4.608970405E1,1.162530183E1
4.032566667E0,4.592321231E1,1.159539479E1
4.065833333E0,4.582756976E1,1.157981228E1
4.099100000E0,4.566495782E1,1.154785541E1
4.132477778E0,4.555851876E1,1.153370007E1
4.165855556E0,4.539206439E1,1.149761320E1
4.199233333E0,4.528889742E1,1.148620971E1
4.232500000E0,4.511657867E1,1.144887474E1
4.265766667E0,4.501160461E1,1.143882667E1
4.299033333E0,4.483823146E1,1.140106209E1
4.332422222E0,4.473907784E1,1.138588136E1
4.365811111E0,4.456166467E1,1.135639039E1
4.399088889E0,4.445466876E1,1.134534955E1
4.432366667E0,4.428949351E1,1.131264260E1
4.465877778E0,4.419322812E1,1.130130340E1
4.499066667E0,4.403080870E1,1.126630762E1
4.532388889E0,4.394194597E1,1.125621454E1
4.565711111E0,4.377260343E1,1.122162419E1
4.599033333E0,4.368151558E1,1.121151301E1
4.632355556E0,4.350923713E1,1.117632864E1
4.665677778E0,4.341290094E1,1.116742136E1
4.699000000E0,4.322938617E1,1.112838977E1
4.732322222E0,4.312609304E1,1.112007087E1
4.765644444E0,4.294516450E1,1.108388219E1
4.798966667E0,4.285593393E1,1.107300262E1
4.832288889E0,4.265847869E1,1.103558610E1
4.865611111E0,4.257748243E1,1.103362816E1
4.898933333E0,4.237923963E1,1.099143421E1
4.932255556E0,4.231261837E1,1.099041692E1
4.965577778E0,4.211654053E1,1.094675255E1
4.998900000E0,4.203743212E1,1.094737131E1
5.032222222E0,4.185049422E1,1.090349238E1
5.065544444E0,4.178431326E1,1.090115377E1
5.098866667E0,4.171288557E1,1.089390423E1
5.132188889E0,4.152044516E1,1.085830164E1
5.165511111E0,4.145439798E1,1.084975962E1
5.198833333E0,4.128005695E1,1.081119775E1
5.232155556E0,4.121959786E1,1.080876088E1
5.265477778E0,4.103377431E1,1.076507396E1
5.298800000E0,4.096734903E1,1.076270345E1
5.332244444E0,4.090346852E1,1.076132191E1
5.365544444E0,4.070747762E1,1.071955265E1
5.398844444E0,4.062621607E1,1.071280585E1
5.432300000E0,4.043201174E1,1.067626841E1
5.465533333E0,4.034245963E1,1.067019801E1
5.498766667E0,4.013689467E1,1.063029960E1
5.532188889E0,4.004289142E1,1.062414228E1
5.565511111E0,3.984540748E1,1.058904365E1
5.598833333E0,3.977246808E1,1.058166724E1
5.632155556E0,3.957328825E1,1.053798845E1
5.665477778E0,3.950321920E1,1.053735168E1
5.698800000E0,3.930491599E1,1.049415005E1
5.732355556E0,3.922147762E1,1.049405745E1
5.765477778E0,3.904033639E1,1.044983205E1
5.798800000E0,3.897508320E1,1.044706212E1
5.832122222E0,3.878487335E1,1.040326790E1
5.865444444E0,3.872165042E1,1.040136800E1
5.898766667E0,3.854413362E1,1.036311434E1
5.932088889E0,3.847322092E1,1.035527975E1
5.965411111E0,3.843158488E1,1.035121854E1
5.998733333E0,3.822772771E1,1.031115743E1
6.032055556E0,3.819330411E1,1.031058457E1
6.065377778E0,3.800687494E1,1.026896216E1
6.098700000E0,3.794660120E1,1.026519781E1
6.132022222E0,3.789423183E1,1.025743094E1
6.165344444E0,3.770874588E1,1.022423018E1
6.198666667E0,3.763574983E1,1.021459198E1
6.231988889E0,3.747418257E1,1.017959292E1
6.265311111E0,3.738082270E1,1.016906450E1
6.298633333E0,3.723154075E1,1.013333847E1
6.331955556E0,3.713931984E1,1.012633092E1
6.365277778E0,3.700615346E1,1.009252126E1
6.398600000E0,3.691453744E1,1.007794221E1
6.431922222E0,3.678193958E1,1.005298437E1
6.465244444E0,3.668742433E1,1.003489779E1
6.498566667E0,3.659170828E1,1.002213065E1
6.531888889E0,3.646173135E1,9.994792694E0
6.565211111E0,3.637384515E1,9.984147689E0
6.598711111E0,3.623303048E1,9.946197177E0
6.631955556E0,3.614281215E1,9.936994579E0
6.665200000E0,3.606716940E1,9.933865136E0
6.698588889E0,3.592426778E1,9.900392617E0
6.731977778E0,3.585049937E1,9.899556197E0
6.765366667E0,3.570967841E1,9.860991951E0
6.798577778E0,3.563787350E1,9.855233217E0
6.831900000E0,3.556089704E1,9.846336109E0
6.865222222E0,3.549474487E1,9.846367027E0
6.898544444E0,3.534182118E1,9.809923735E0
6.931866667E0,3.527710782E1,9.810247506E0
6.965188889E0,3.521130554E1,9.810569455E0
6.998511111E0,3.507234777E1,9.771105643E0
7.031833333E0,3.501133835E1,9.766707527E0
7.065155556E0,3.496129433E1,9.763366590E0
7.098477778E0,3.481217722E1,9.724547074E0
7.131800000E0,3.475081674E1,9.721337137E0
7.165122222E0,3.467864747E1,9.712553426E0
7.198444444E0,3.461147862E1,9.713578183E0
7.231766667E0,3.448081703E1,9.680344065E0
7.265088889E0,3.440582678E1,9.671605457E0
7.298411111E0,3.434225232E1,9.670643333E0
7.331733333E0,3.420078127E1,9.630908490E0
7.365055556E0,3.413672154E1,9.629543650E0
7.398377778E0,3.407876389E1,9.628951400E0
7.431700000E0,3.401893684E1,9.628083576E0
7.465022222E0,3.388919276E1,9.586693925E0
7.498344444E0,3.382876111E1,9.583712202E0
7.531666667E0,3.376956670E1,9.583009233E0
7.564988889E0,3.370819181E1,9.581288909E0
7.598311111E0,3.357774167E1,9.542599749E0
7.631633333E0,3.351168096E1,9.540603165E0
7.664955556E0,3.344295606E1,9.540231146E0
7.698277778E0,3.332407297E1,9.498891453E0
7.731711111E0,3.325223553E1,9.494542831E0
7.765033333E0,3.318841977E1,9.493213505E0
7.798355556E0,3.311860730E1,9.475914487E0
7.831677778E0,3.299749677E1,9.456204305E0
7.865000000E0,3.293322137E1,9.449926301E0
7.898322222E0,3.287240574E1,9.445588669E0
7.931644444E0,3.275913077E1,9.420728203E0
7.964966667E0,3.270267275E1,9.397557630E0
7.998288889E0,3.263081664E1,9.395878081E0
8.031611111E0,3.252237193E1,9.368801225E0
8.064933333E0,3.246059191E1,9.358548135E0
8.098255556E0,3.239752095E1,9.357559217E0
8.131688889E0,3.234086806E1,9.354056947E0
8.164944444E0,3.224089724E1,9.318081968E0
8.198200000E0,3.216026057E1,9.308668661E0
8.231633333E0,3.208436759E1,9.308926154E0
8.264911111E0,3.196711894E1,9.269180567E0
8.298344444E0,3.189106675E1,9.266825298E0
8.331566667E0,3.180749527E1,9.258339534E0
8.364944444E0,3.168497108E1,9.229080614E0
8.398222222E0,3.159748457E1,9.219962025E0
8.431500000E0,3.152874354E1,9.210184024E0
8.464777778E0,3.141389270E1,9.189457812E0
