mass_A
t,x,y
0.000000000E0,1.406009171E0,4.565546525E0
3.330000000E-2,1.601225848E0,4.625860270E0
6.660000000E-2,1.993086747E0,4.811084138E0
1.000111111E-1,2.834267201E0,4.857122440E0
1.334222222E-1,3.946681065E0,5.478817965E0
1.666555556E-1,6.999841348E0,6.186879917E0
2.000222222E-1,1.118767286E1,7.407445088E0
2.333888889E-1,1.733552241E1,9.344987739E0
2.666333333E-1,2.407048682E1,1.178790716E1
2.998777778E-1,3.039358029E1,1.383676628E1
3.333000000E-1,3.636745810E1,1.572055898E1
3.666111111E-1,4.112607812E1,1.734323505E1
3.999222222E-1,4.594099246E1,1.890707241E1
4.332333333E-1,5.029791905E1,2.059622031E1
4.665444444E-1,5.365840422E1,2.150106418E1
4.998555556E-1,5.661719596E1,2.247237988E1
5.331666667E-1,5.928942731E1,2.350762304E1
5.664777778E-1,6.172248727E1,2.414498934E1
5.999000000E-1,6.329332167E1,2.485900497E1
6.332222222E-1,6.439726299E1,2.529536553E1
6.665444444E-1,6.514817209E1,2.539396012E1
6.998666667E-1,6.515326084E1,2.562422618E1
7.331888889E-1,6.491917821E1,2.545661539E1
7.665111111E-1,6.421565813E1,2.489621648E1
7.998333333E-1,6.399302519E1,2.524670433E1
8.331555556E-1,6.329204948E1,2.480143846E1
8.664777778E-1,6.236462427E1,2.453396088E1
8.998000000E-1,6.132333822E1,2.432659421E1
9.331222222E-1,6.015928600E1,2.377637280E1
9.664444444E-1,5.876878428E1,2.340393970E1
9.997666667E-1,5.737573819E1,2.291637357E1
1.033088889E0,5.557845429E1,2.238014624E1
1.066411111E0,5.395259775E1,2.178253582E1
1.099733333E0,5.221160818E1,2.118746978E1
1.133055556E0,5.012140294E1,2.042733733E1
1.166377778E0,4.814505855E1,1.960709397E1
1.199700000E0,4.593972028E1,1.884950589E1
1.233022222E0,4.361924897E1,1.809446219E1
1.266344444E0,4.118237245E1,1.728439634E1
1.299666667E0,3.857152418E1,1.642058054E1
1.332988889E0,3.584299851E1,1.544417609E1
1.366422222E0,3.294050110E1,1.441402168E1
1.399855556E0,2.957747155E1,1.339404478E1
1.433088889E0,2.650354678E1,1.242527345E1
1.466322222E0,2.320190031E1,1.157672392E1
1.499733333E0,1.989262072E1,1.038277528E1
1.533144444E0,1.641191376E1,9.250209717E0
1.566388889E0,1.287872904E1,8.349182414E0
1.599633333E0,9.279072487E0,7.046461682E0
1.633033333E0,5.161317283E0,5.755190644E0
